#module: 16
modularity: 0.596833
No	ID	No. module	Zi	Pi
1	OTU_1029	5	0.707106781186548	0
2	OTU_1037	4	-1.02105494048526	0
3	OTU_1039	5	0.707106781186548	0
4	OTU_1051	5	0.707106781186548	0
5	OTU_1053	14	0	0
6	OTU_1054	2	1.15864824404332	0.32
7	OTU_1064	5	-1.4142135623731	0
8	OTU_1095	2	-0.413802944301184	0.444444444444444
9	OTU_1096	5	-1.4142135623731	0
10	OTU_1101	2	-0.413802944301184	0
11	OTU_1122	2	1.94487383821556	0.277777777777778
12	OTU_1126	3	0.31429363309631	0
13	OTU_1143	3	-0.873037869711973	0.5
14	OTU_1158	2	1.15864824404332	0
15	OTU_1200	0	-0.726252277807689	0
16	OTU_1201	4	-1.02105494048526	0
17	OTU_1234	1	-0.982272588312941	0.444444444444444
18	OTU_1238	1	0.221803487683567	0.56
19	OTU_128	4	-0.145864991497894	0.444444444444444
20	OTU_132	15	0	0
21	OTU_1372	0	0.351412392487591	0
22	OTU_1373	2	-0.413802944301184	0.444444444444444
23	OTU_142	2	-1.20002853847343	0
24	OTU_146	7	0	0
25	OTU_1484	2	-0.413802944301184	0.72
26	OTU_1488	4	-0.145864991497894	0
27	OTU_157	11	0	0
28	OTU_164	7	0	0
29	OTU_1759	0	-0.187419942660049	0
30	OTU_181	3	2.68895663871288	0.545454545454546
31	OTU_1814	0	0.890244727635231	0.65625
32	OTU_1846	0	-0.726252277807689	0
33	OTU_1849	0	-0.187419942660049	0
34	OTU_191	4	0.729324957489473	0.375
35	OTU_2020	9	0	0
36	OTU_2033	0	-0.187419942660049	0
37	OTU_2099	3	-0.279372118307831	0.444444444444444
38	OTU_2103	9	0	0
39	OTU_214	1	2.62995563967658	0.37037037037037
40	OTU_2163	2	1.15864824404332	0.32
41	OTU_2206	0	-0.187419942660049	0
42	OTU_2226	4	0.729324957489473	0
43	OTU_2275	3	0.31429363309631	0.375
44	OTU_2314	0	-0.726252277807689	0
45	OTU_2326	0	-0.187419942660049	0
46	OTU_2357	12	0	0
47	OTU_2368	2	1.94487383821556	0.448979591836735
48	OTU_2407	3	0.31429363309631	0
49	OTU_2416	3	-0.279372118307831	0.625
50	OTU_2480	2	0.372422649871066	0.56
51	OTU_2594	0	-0.726252277807689	0
52	OTU_2598	1	-0.982272588312941	0
53	OTU_2601	12	0	0
54	OTU_2631	8	0	0
55	OTU_2642	2	-1.20002853847343	0.75
56	OTU_2651	0	0.351412392487591	0.56
57	OTU_2681	3	0.907959384500452	0
58	OTU_270	14	0	0
59	OTU_275	1	0.823841525681821	0
60	OTU_2763	0	-0.726252277807689	0
61	OTU_2896	2	-0.413802944301184	0.444444444444444
62	OTU_2960	6	-0.577350269189626	0
63	OTU_2974	3	0.907959384500452	0.625
64	OTU_3010	2	-0.413802944301184	0
65	OTU_3117	2	-0.413802944301184	0.625
66	OTU_3121	4	-1.02105494048526	0.5
67	OTU_3308	4	-0.145864991497894	0.64
68	OTU_3310	6	-0.577350269189626	0
69	OTU_3320	3	-0.873037869711973	0
70	OTU_3335	6	-0.577350269189626	0
71	OTU_3374	3	-0.873037869711973	0
72	OTU_3450	1	-0.982272588312941	0.5
73	OTU_3462	0	-0.726252277807689	0
74	OTU_3464	6	1.73205080756888	0
75	OTU_376	4	2.47970485546421	0.448979591836735
76	OTU_385	0	-0.726252277807689	0
77	OTU_388	2	-1.20002853847343	0
78	OTU_396	0	1.42907706278287	0.408163265306122
79	OTU_402	15	0	0
80	OTU_403	4	-1.02105494048526	0
81	OTU_411	8	0	0
82	OTU_425	1	-0.380234550314687	0.444444444444444
83	OTU_429	1	-0.982272588312941	0
84	OTU_435	13	0	0
85	OTU_440	2	-0.413802944301184	0
86	OTU_453	1	-0.982272588312941	0
87	OTU_468	3	-0.279372118307831	0.64
88	OTU_5	7	0	0
89	OTU_518	2	-1.20002853847343	0
90	OTU_519	0	0.890244727635231	0.571428571428571
91	OTU_528	1	0.221803487683567	0
92	OTU_53	9	0	0
93	OTU_531	3	-0.873037869711973	0
94	OTU_535	1	-0.380234550314687	0
95	OTU_537	1	0.823841525681821	0.32
96	OTU_538	1	0.221803487683567	0.56
97	OTU_539	0	-0.726252277807689	0
98	OTU_554	1	-0.380234550314687	0
99	OTU_558	1	-0.982272588312941	0
100	OTU_563	4	-0.145864991497894	0.73469387755102
101	OTU_603	0	-0.726252277807689	0
102	OTU_608	11	0	0
103	OTU_733	8	0	0
104	OTU_741	4	0.729324957489473	0.375
105	OTU_743	0	1.96790939793051	0.244897959183674
106	OTU_745	3	-0.873037869711973	0.5
107	OTU_747	1	1.42587956368008	0.277777777777778
108	OTU_750	13	0	0
109	OTU_756	3	-0.873037869711973	0.5
110	OTU_757	0	3.04557406822579	0.602040816326531
111	OTU_768	3	1.50162513590459	0.448979591836735
112	OTU_785	2	0.372422649871066	0.375
113	OTU_793	1	-0.380234550314687	0.444444444444444
114	OTU_824	0	-0.726252277807689	0.5
115	OTU_854	3	-0.873037869711973	0
116	OTU_856	1	-0.380234550314687	0.444444444444444
117	OTU_9	1	1.42587956368008	0
118	OTU_908	0	-0.726252277807689	0
119	OTU_944	5	0.707106781186548	0
120	OTU_947	10	0	0
121	OTU_948	10	0	0
